usuario,titulo,peso_interacao
Ana,Breaking Bad,5
Ana,The Office,4
Ana,Stranger Things,5
Ana,Dark,2
Bruno,Game of Thrones,5
Bruno,Better Call Saul,4
Bruno,The Boys,5
Bruno,Black Mirror,3
Carla,Friends,5
Carla,The Crown,4
Carla,House of Cards,3
Carla,The Last of Us,5
Diego,Sherlock,5
Diego,True Detective,4
Diego,Dexter,5
Diego,Mindhunter,2
Fernanda,The Wire,5
Fernanda,The Sopranos,5
Fernanda,Peaky Blinders,4
Fernanda,Narcos,3
Gabriel,The Expanse,5
Gabriel,Westworld,4
Gabriel,Battlestar Galactica,5
Gabriel,Fringe,2
Helena,Parks and Recreation,5
Helena,Brooklyn Nine-Nine,5
Helena,Community,4
Helena,Modern Family,3
Igor,The Walking Dead,3
Igor,The Handmaid's Tale,5
Igor,The Witcher,4
Igor,The Mandalorian,5
Julia,Lucifer,2
Julia,Supernatural,5
Julia,The Flash,4
Julia,Arrow,3
Kai,Arcane,5
Kai,Death Note,5
Kai,Attack on Titan,5
Kai,One Piece,4
Laura,Seinfeld,4
Laura,How I Met Your Mother,5
Laura,The Big Bang Theory,3
Laura,Silicon Valley,2
Marcos,The Americans,3
Marcos,24,5
Marcos,Prison Break,5
Marcos,Fargo,4
Nina,The Crown,5
Nina,Mad Men,4
Nina,Succession,5
Nina,House of the Dragon,2
Otavio,BoJack Horseman,3
Otavio,Rick and Morty,5
Otavio,The Boys,4
Otavio,The Last of Us,2
Patricia,Lost,3
Patricia,Fringe,5
Patricia,Dark,5
Patricia,Black Mirror,4
Rafael,Vikings,5
Rafael,Game of Thrones,5
Rafael,Peaky Blinders,4
Rafael,The Wire,3
Sofia,Friends,5
Sofia,Community,4
Sofia,Parks and Recreation,3
Sofia,Brooklyn Nine-Nine,5
Tiago,Daredevil,5
Tiago,The Punisher,3
Tiago,Arrow,4
Tiago,The Flash,5
Ana,Lost,1
Bruno,The Handmaid's Tale,1
Carla,Westworld,2
Diego,The Expanse,1
Fernanda,The Last of Us,2
Gabriel,The Walking Dead,1
Helena,The Witcher,2
Igor,Black Mirror,1
Julia,Game of Thrones,2
Kai,The Office,1
Laura,The Mandalorian,2
